Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
155,535327140,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1955,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,827,0,0,827,0.0,0.0,1,0,2,1,TA,5,Mod,1,Po,Detchd,1967.0,Unf,1.0,392.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2010,WD ,Normal,107500
536,531363050,20,RL,63.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158,0,0,1158,0.0,0.0,1,1,3,1,Gd,5,Typ,0,,,,,0.0,0.0,,,Y,0,50,0,0,0,0,,,,0,8,2009,WD ,Normal,143500
2478,531379030,60,RL,70.0,8304,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,941.0,941.0,GasA,Ex,Y,SBrkr,941,896,0,1837,0.0,0.0,2,1,3,1,TA,7,Typ,0,,Attchd,1997.0,RFn,2.0,688.0,TA,TA,Y,150,165,0,0,0,0,,GdPrv,,0,7,2006,WD ,Normal,187000
2535,534201260,20,RL,78.0,9360,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,1968,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,Av,ALQ,760.0,Unf,0.0,216.0,976.0,GasA,TA,Y,SBrkr,976,0,0,976,1.0,0.0,1,0,2,1,Gd,4,Typ,1,Fa,Attchd,1968.0,RFn,2.0,504.0,TA,TA,Y,94,0,0,0,0,0,,,,0,8,2006,WD ,Abnorml,157500
378,527354100,80,RL,,14115,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,5,1980,1980,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1036.0,Unf,0.0,336.0,1372.0,GasA,TA,Y,SBrkr,1472,0,0,1472,1.0,0.0,2,0,3,1,TA,6,Typ,2,TA,Attchd,1980.0,Unf,2.0,588.0,TA,TA,Y,233,48,0,0,0,0,,,,0,6,2009,WD ,Normal,187500
2609,535402100,80,RL,83.0,10184,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,379.0,TA,TA,CBlock,TA,TA,Av,ALQ,580.0,Unf,0.0,503.0,1083.0,GasA,TA,Y,SBrkr,1146,0,0,1146,0.0,1.0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1963.0,Unf,1.0,294.0,TA,TA,Y,345,75,0,0,0,0,,,,0,6,2006,WD ,Normal,165000
1613,526352090,20,RL,85.0,10628,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,1277.0,GasA,TA,Y,SBrkr,1277,0,0,1277,1.0,0.0,1,0,2,1,TA,5,Typ,1,Po,Attchd,1970.0,Unf,2.0,526.0,TA,TA,Y,0,0,0,0,176,0,,GdWo,,0,4,2007,WD ,Normal,167000
522,528458160,20,FV,85.0,9187,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,162.0,Ex,TA,PConc,Ex,TA,Mn,GLQ,1121.0,Unf,0.0,645.0,1766.0,GasA,Ex,Y,SBrkr,1766,0,0,1766,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,2009.0,Fin,3.0,478.0,TA,TA,Y,195,130,0,0,0,0,,,,0,10,2009,New,Partial,370878
1065,528166120,60,RL,110.0,13688,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,664.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1016.0,Unf,0.0,556.0,1572.0,GasA,Ex,Y,SBrkr,1572,1096,0,2668,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Gd,BuiltIn,2003.0,Fin,3.0,726.0,TA,TA,Y,400,0,0,0,0,0,,,,0,3,2008,WD ,Normal,412500
1439,907187030,60,RL,57.0,8924,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,880.0,880.0,GasA,Ex,Y,SBrkr,880,844,0,1724,0.0,0.0,2,1,3,1,Gd,8,Typ,0,,Attchd,1998.0,Fin,2.0,527.0,TA,TA,Y,120,155,0,0,0,0,,,,0,7,2008,WD ,Normal,188000
904,909101100,50,RL,45.0,8212,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,626.0,Unf,0.0,94.0,720.0,GasA,Ex,Y,SBrkr,854,444,0,1298,0.0,0.0,1,0,3,1,TA,6,Typ,2,Gd,Detchd,1940.0,Unf,1.0,256.0,TA,TA,Y,84,0,0,0,0,0,,,,0,9,2009,WD ,Normal,122000
1166,533213070,160,FV,24.0,2280,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,360.0,TA,TA,PConc,Gd,TA,No,ALQ,549.0,Unf,0.0,195.0,744.0,GasA,Gd,Y,SBrkr,757,744,0,1501,0.0,0.0,2,1,3,1,TA,6,Typ,0,,Detchd,1999.0,Unf,2.0,440.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2008,WD ,Normal,179400
19,527276150,20,RL,140.0,19138,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,Normal,141000
2176,908152070,20,RL,,7917,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,TA,Gd,CBlock,TA,Gd,No,BLQ,751.0,Unf,0.0,392.0,1143.0,GasA,TA,Y,SBrkr,1113,0,0,1113,1.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1987.0,RFn,1.0,504.0,TA,Gd,Y,370,30,0,0,0,0,,GdPrv,,0,5,2007,WD ,Normal,148000
1182,533251120,20,RL,,11120,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,1Fam,1Story,6,6,1984,1984,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,PConc,Gd,TA,No,BLQ,660.0,Unf,0.0,572.0,1232.0,GasA,TA,Y,SBrkr,1232,0,0,1232,0.0,0.0,2,0,3,1,TA,6,Typ,0,,Attchd,1984.0,Unf,2.0,516.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD ,Normal,162500
1546,910201130,50,RM,60.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,8,1940,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,720.0,720.0,GasA,Gd,Y,SBrkr,760,330,0,1090,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1940.0,Unf,1.0,240.0,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2008,WD ,Normal,120000
672,535403210,20,RL,90.0,10454,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1957,1957,Hip,CompShg,Plywood,Plywood,Stone,143.0,TA,TA,CBlock,TA,TA,No,Rec,546.0,Unf,0.0,559.0,1105.0,GasA,Gd,Y,FuseA,1105,0,0,1105,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1957.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2009,WD ,Normal,135000
306,911202100,50,C (all),66.0,8712,Pave,Pave,Reg,HLS,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,7,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Stone,TA,TA,Mn,Unf,0.0,Unf,0.0,859.0,859.0,GasA,Gd,Y,SBrkr,859,319,0,1178,0.0,0.0,1,0,2,1,TA,7,Typ,0,,Detchd,1964.0,RFn,1.0,384.0,TA,TA,N,68,0,98,0,0,0,,,,0,1,2010,WD ,Abnorml,102776
962,916386140,20,RL,73.0,8925,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,1466,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,0,,,,0,7,2009,WD ,Normal,201000
203,903426180,50,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1915,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,888.0,888.0,GasA,Ex,Y,SBrkr,888,1074,0,1962,0.0,0.0,1,1,4,1,TA,9,Typ,1,TA,Detchd,1915.0,Unf,2.0,572.0,TA,TA,Y,160,0,364,0,0,0,,GdPrv,,0,6,2010,WD ,Normal,149500
2730,905300080,20,RL,100.0,13350,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1974,1974,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,762.0,Unf,0.0,102.0,864.0,GasA,TA,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Fa,Attchd,1974.0,Unf,2.0,440.0,TA,TA,Y,241,0,0,0,0,0,,MnPrv,,0,6,2006,WD ,Normal,142500
1819,532353120,20,RL,64.0,6285,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,LwQ,138.0,Rec,351.0,405.0,894.0,GasA,TA,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1979.0,Unf,1.0,308.0,TA,TA,Y,192,0,0,0,0,0,,,,0,3,2007,WD ,Normal,120750
2595,535355100,50,RL,50.0,7000,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,BrkTil,Fa,TA,No,LwQ,617.0,Unf,0.0,0.0,617.0,GasA,Gd,Y,SBrkr,865,445,0,1310,0.0,0.0,2,0,2,1,TA,6,Min1,0,,Attchd,1924.0,Unf,1.0,398.0,TA,TA,Y,0,0,126,0,0,0,,,,0,5,2006,COD,Normal,112000
227,905107250,60,RL,86.0,11227,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,5,5,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,Gd,No,Rec,267.0,ALQ,453.0,0.0,720.0,GasA,Ex,Y,SBrkr,720,720,0,1440,0.0,0.0,1,1,4,1,TA,7,Typ,2,TA,Attchd,1968.0,Unf,2.0,480.0,TA,TA,Y,192,38,0,0,0,0,,MnPrv,,0,3,2010,WD ,Normal,163000
446,528142150,20,RL,90.0,12878,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,418.0,Gd,TA,PConc,Gd,TA,No,ALQ,1262.0,Unf,0.0,498.0,1760.0,GasA,Ex,Y,SBrkr,1760,0,0,1760,1.0,0.0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2003.0,Fin,2.0,583.0,TA,TA,Y,165,190,0,0,0,0,,,,0,6,2009,WD ,Normal,269500
2924,923250060,20,RL,80.0,17400,Pave,,Reg,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1977,1977,Gable,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,936.0,Unf,0.0,190.0,1126.0,GasA,Fa,Y,SBrkr,1126,0,0,1126,1.0,0.0,2,0,3,1,TA,5,Typ,1,Gd,Attchd,1977.0,RFn,2.0,484.0,TA,TA,P,295,41,0,0,0,0,,,,0,5,2006,WD ,Normal,160000
1993,902301130,70,RM,35.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,1910,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,168.0,Unf,0.0,448.0,616.0,GasA,Ex,Y,SBrkr,616,616,0,1232,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,2.0,480.0,Fa,Fa,Y,280,0,143,0,0,0,,,,0,6,2007,WD ,Normal,114000
667,535402010,90,RL,81.0,9671,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,Duplex,2Story,6,5,1969,1969,Gable,CompShg,MetalSd,MetalSd,Stone,480.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1248.0,1248.0,GasA,TA,Y,SBrkr,1248,1296,0,2544,0.0,0.0,2,2,6,2,TA,12,Typ,0,,Attchd,1969.0,RFn,3.0,907.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2009,WD ,Normal,190000
1873,534177210,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,326.0,1242.0,GasA,Fa,Y,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2007,WD ,Normal,175500
1224,534455030,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,MetalSd,MetalSd,BrkFace,203.0,Fa,Fa,CBlock,TA,TA,No,Rec,658.0,Unf,0.0,638.0,1296.0,GasA,TA,Y,SBrkr,1496,0,0,1496,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,1960.0,RFn,2.0,450.0,TA,TA,Y,0,22,0,0,0,0,,MnPrv,,0,2,2008,WD ,Normal,141500
1917,535151020,20,RL,73.0,8760,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1957,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,873.0,Unf,0.0,63.0,936.0,GasA,TA,Y,SBrkr,936,0,0,936,1.0,0.0,1,0,2,1,Gd,4,Typ,0,,Attchd,1957.0,RFn,1.0,315.0,TA,TA,Y,0,0,0,219,0,0,,,,0,9,2007,WD ,Normal,141000
433,528110020,20,RL,105.0,13693,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosA,PosA,1Fam,1Story,10,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,472.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2288.0,Unf,0.0,342.0,2630.0,GasA,Ex,Y,SBrkr,2674,0,0,2674,2.0,0.0,2,1,2,1,Ex,8,Typ,2,Gd,Attchd,2007.0,Fin,3.0,762.0,TA,TA,Y,360,50,0,0,0,0,,,,0,3,2009,WD ,Normal,610000
912,909250220,50,RL,65.0,7804,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,0.0,500.0,1122.0,GasA,TA,Y,SBrkr,1328,653,0,1981,1.0,0.0,2,0,4,1,Gd,7,Min2,2,TA,Detchd,1981.0,Unf,2.0,576.0,TA,TA,Y,431,44,0,0,0,0,,MnPrv,,0,12,2009,WD ,Normal,135000
2549,534427090,190,RL,75.0,10382,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,2fmCon,SLvl,6,5,1958,1958,Hip,CompShg,HdBoard,HdBoard,BrkFace,105.0,TA,Fa,CBlock,TA,TA,Gd,ALQ,513.0,Unf,0.0,75.0,588.0,GasA,TA,Y,SBrkr,1095,0,0,1095,1.0,0.0,1,0,2,1,TA,6,Typ,0,,Attchd,1958.0,RFn,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2006,ConLD,Normal,140000
2426,528228545,120,RL,43.0,3010,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1232.0,1248.0,GasA,Ex,Y,SBrkr,1248,0,0,1248,0.0,0.0,2,0,2,1,Gd,5,Typ,0,,Attchd,2005.0,Fin,2.0,438.0,TA,TA,Y,108,0,0,0,0,0,,,,0,3,2006,New,Partial,167240
377,527353060,60,RL,,12388,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1980,1991,Gable,CompShg,Plywood,Plywood,BrkFace,229.0,TA,TA,CBlock,Gd,TA,No,ALQ,602.0,Unf,0.0,441.0,1043.0,GasA,TA,Y,SBrkr,1539,1134,0,2673,0.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,BuiltIn,1980.0,RFn,2.0,441.0,TA,TA,Y,178,84,0,0,0,0,,,,0,8,2009,WD ,Normal,249000
2699,904100030,50,RL,82.0,12375,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,5,1951,1951,Gable,CompShg,HdBoard,HdBoard,Stone,41.0,TA,Fa,CBlock,TA,TA,No,BLQ,329.0,Unf,0.0,477.0,806.0,GasA,TA,Y,SBrkr,1081,341,0,1422,1.0,0.0,1,0,3,1,TA,7,Typ,1,TA,Detchd,1951.0,Unf,1.0,288.0,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,6,2006,WD ,Normal,137500
1754,528275035,60,RL,,8063,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,924.0,924.0,GasA,Ex,Y,SBrkr,948,742,0,1690,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,RFn,2.0,463.0,TA,TA,Y,100,48,0,0,0,0,,,,0,11,2007,WD ,Abnorml,181000
843,907175100,60,RL,80.0,10400,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,866.0,866.0,GasA,Ex,Y,SBrkr,866,913,0,1779,0.0,0.0,2,1,3,1,Gd,6,Typ,0,,Attchd,1998.0,RFn,2.0,546.0,TA,TA,Y,198,36,0,0,0,0,,,,0,3,2009,WD ,Normal,197900
2457,528429120,20,RL,49.0,20896,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,Somerst,RRAn,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,1721.0,Unf,0.0,356.0,2077.0,GasA,Ex,Y,SBrkr,2097,0,0,2097,1.0,0.0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2005.0,Fin,3.0,1134.0,TA,TA,Y,192,267,0,0,0,0,,,,0,1,2006,New,Partial,423000
77,531451280,60,RL,70.0,11218,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1992,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1055.0,1055.0,GasA,Ex,Y,SBrkr,1055,790,0,1845,0.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1992.0,RFn,2.0,462.0,TA,TA,Y,635,104,0,0,0,0,,GdPrv,Shed,400,5,2010,WD ,Normal,189000
1395,905226030,30,RL,60.0,10200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,0,0,672,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1940.0,Unf,1.0,240.0,TA,TA,N,168,0,0,0,0,0,,GdPrv,,0,8,2008,WD ,Normal,108000
2227,909452102,20,RL,,17871,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,4,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1680.0,1680.0,GasA,Gd,Y,SBrkr,1680,0,0,1680,0.0,0.0,2,0,4,1,Gd,7,Typ,0,,Attchd,1996.0,Unf,2.0,628.0,TA,TA,Y,152,0,0,0,0,0,,,,0,6,2007,WD ,Normal,170000
2828,908186090,180,RM,35.0,3675,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,,,,0,10,2006,New,Partial,142500
1036,527402130,20,RL,68.0,10295,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1969,1969,Gable,CompShg,HdBoard,HdBoard,BrkFace,72.0,TA,TA,CBlock,Gd,TA,Mn,Rec,252.0,Unf,0.0,684.0,936.0,GasA,TA,Y,SBrkr,936,0,0,936,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1969.0,Unf,1.0,288.0,TA,TA,Y,16,0,0,0,0,0,,,,0,9,2008,COD,Normal,111900
